Timestamp,Are you an international student? ,"On a scale from 1 to 5, how would you rate the representation of international perspectives in the academic curriculum?","On a scale from 1 to 5, how well do you think the current academic environment encourages and supports international students to share their perspectives?","In your opinion, would you like more international perspectives represented in the Haas curriculum?",What specific changes or additions would you suggest to better incorporate and value international perspectives in the curriculum?
2/23/2024 1:30:30,No,2,4,4,I would like to see more international case studies used in certain classes. 
2/23/2024 9:19:16,Yes,3,2,5,"there should be more space for discussion out of US paradigms in class. In general, almost all the example we use follow that paradigm and internationals are asked to come with their own example. I think a greater effort can be made by faculty as well. "
2/23/2024 9:26:58,Yes,3,2,5,
2/23/2024 9:31:59,Yes,1,2,4,more industry experts as guest speakers with international experience
2/23/2024 9:46:31,Yes,1,1,5,"Teaching methods -
1. Do small group discussions in class than just having to raise hands - this will help students speak up if they aren’t comfortable speaking in front of whole class
2. Wait before calling a name - wait for 20-30 seconds before calling a name of the student. This gives opportunity for more students to raise hands. 
3. Give students a heads-up - profs should know students professional experience and should give students a heads-up before class to let them know that they value their inputs in specific cases or topics as that matches with their professional background"
2/23/2024 10:18:46,Yes,2,4,4,Too many DEI class that is focus on black and hispanic history. Failed to recognize international as a group in the U.S.
2/23/2024 10:54:41,Yes,2,2,5,
2/23/2024 11:57:10,Yes,2,2,3,
2/23/2024 12:48:22,Yes,3,3,4,
2/23/2024 14:15:08,Yes,2,2,5,More case studies and examples 
2/23/2024 14:18:15,Yes,4,3,4,"When talking about some countries, professors can inform the students from that country of the information and let them be prepared to share their opinions."
2/23/2024 15:11:02,Yes,2,2,5,
2/23/2024 15:23:37,Yes,3,4,3,
2/23/2024 18:12:03,Yes,3,4,5,
2/23/2024 21:00:39,Yes,3,4,4,
2/24/2024 10:57:49,Yes,2,4,5,
2/24/2024 14:21:58,Yes,4,2,4,More detailed communication method between international and US people in communication class
2/24/2024 16:34:46,Yes,2,3,4,
